company_id,scenario,manager_id,headcount,family_link_share_calc,close_family_share,connected_employee_share_calc,promoted_share_connected,surname_concentration,city_concentration,school_concentration,college_concentration,same_high_school_share,same_city_share,same_college_share,same_last_name_share,headcount_feature,connected_employee_share,family_link_share,referral_share,promoted_share,avg_salary,avg_performance,avg_merit,manager_full_name,manager_department_id,family_concentration_component,school_concentration_component,city_concentration_component,college_concentration_component,surname_concentration_component,connected_promotion_component,size_stability_factor,raw_nepotism_risk_score,manager_nepotism_risk_score
HNR-16,High nepotism risk,EHNR1600149,3,0.6666666666666666,0.3333,0.6666666666666666,0.0,0.3333,1.0,0.6667,0.6667,0.6667,0.6667,0.3333,0.3333,3,1.0,0.6667,1.0,0.0,34433.333333333336,70.39999999999999,86.23333333333333,Yael Dahan,EXEC,0.5333,0.6667,0.86,0.5067,0.3333,0.0,0.5,0.3039,0.4705
MOD-10,Moderate favoritism,EMOD1000170,4,0.5,0.25,0.75,0.0,0.5,1.0,0.5,0.6667,0.0,0.5,0.0,0.25,4,1.0,0.5,0.5,0.0,22500.0,67.7,83.175,Einav Levi,D02,0.4,0.21,0.79,0.3467,0.415,0.0,0.6667,0.3035,0.4697
HNR-15,High nepotism risk,EHNR1500312,3,1.0,0.0,1.0,0.3333,0.6667,1.0,0.6667,0.6667,0.3333,0.6667,0.0,0.3333,3,1.0,1.0,0.3333333333333333,0.3333333333333333,17566.666666666668,61.23333333333333,74.93333333333334,David Levi,D03,0.6,0.4733,0.86,0.3467,0.5533,0.3333,0.5,0.3031,0.4688
HNR-01,High nepotism risk,EHNR0100115,4,0.5,0.25,1.0,0.0,0.5,0.5,0.25,0.25,0.5,0.75,0.25,0.25,4,1.0,0.5,0.75,0.0,18150.0,61.75,75.225,Amit Levi,D01,0.4,0.395,0.605,0.25,0.415,0.0,0.6667,0.3007,0.4636
MOD-08,Moderate favoritism,EMOD0800100,7,0.14285714285714285,0.0,0.42857142857142855,0.0,0.1429,0.5714,0.2857,0.6,0.0,0.4286,0.2857,0.0,7,1.0,0.1429,0.2857142857142857,0.0,19700.0,72.4,82.82857142857142,David Cohen,D02,0.0857,0.12,0.5114,0.4491,0.0943,0.0,1.0,0.2913,0.4433
MER-16,Merit-based,EMER1600158,6,0.0,0.0,0.5,0.6667,0.1667,0.5,0.3333,0.3333,0.1667,0.5,0.1667,0.0,6,0.8333,0.0,0.1666666666666666,0.3333333333333333,21883.33333333333,76.61666666666667,88.16666666666667,Yuval Biton,D01,0.0,0.2367,0.5,0.2533,0.11,0.6667,1.0,0.2899,0.4403
MOD-16,Moderate favoritism,EMOD1600134,4,0.25,0.0,0.75,0.3333,0.25,0.75,0.75,0.6667,0.0,0.75,0.5,0.0,4,1.0,0.25,0.75,0.25,18950.0,75.1,87.125,Roee Ben-David,D03,0.15,0.315,0.75,0.5867,0.165,0.3333,0.6667,0.2857,0.4313
HNR-16,High nepotism risk,EHNR1600155,3,0.3333333333333333,0.0,1.0,0.0,0.3333,1.0,0.6667,0.3333,1.0,1.0,0.6667,0.0,3,1.0,0.3333,0.3333333333333333,0.0,14700.0,63.8,78.13333333333334,Yael Dahan,D03,0.2,0.86,1.0,0.4933,0.22,0.0,0.5,0.2824,0.4241
MER-08,Merit-based,EMER0800208,7,0.0,0.0,0.5714285714285714,0.0,0.1429,0.4286,0.2857,0.4286,0.2857,0.5714,0.0,0.1429,7,1.0,0.0,0.1428571428571428,0.0,21628.571428571428,73.61428571428571,88.21428571428571,Yael Avraham,D01,0.0,0.2857,0.4886,0.2229,0.1429,0.0,1.0,0.2735,0.4049
MOD-08,Moderate favoritism,EMOD0800089,2,1.0,0.0,1.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2,1.0,1.0,1.0,0.0,18800.0,65.2,73.1,Michal Biton,D01,0.6,1.0,1.0,1.0,0.33,0.0,0.35,0.271,0.3996
MER-12,Merit-based,EMER1200152,5,0.2,0.0,0.8,0.0,0.2,0.6,0.2,0.5,0.2,0.6,0.2,0.0,5,1.0,0.2,0.4,0.0,20900.0,71.2,84.08000000000001,Einav Levi,D03,0.12,0.2,0.6,0.356,0.132,0.0,0.8333,0.2691,0.3953
HNR-12,High nepotism risk,EHNR1200201,3,0.3333333333333333,0.0,1.0,0.0,0.3333,1.0,0.6667,0.6667,0.6667,1.0,0.3333,0.3333,3,1.0,0.3333,1.0,0.0,34233.333333333336,70.46666666666665,84.03333333333333,Omer Haddad,EXEC,0.2,0.6667,1.0,0.5067,0.3333,0.0,0.5,0.2684,0.3939
HNR-15,High nepotism risk,EHNR1500189,3,0.6666666666666666,0.0,1.0,0.0,0.3333,1.0,0.6667,0.5,0.3333,1.0,0.3333,0.0,3,1.0,0.6667,0.6666666666666666,0.0,33433.333333333336,68.7,86.83333333333333,Adi Vaknin,EXEC,0.4,0.4733,1.0,0.42,0.22,0.0,0.5,0.2673,0.3916
HNR-08,High nepotism risk,EHNR0800161,3,0.6666666666666666,0.0,1.0,0.0,0.3333,1.0,0.6667,0.5,0.3333,1.0,0.3333,0.0,3,1.0,0.6667,0.6666666666666666,0.0,33400.0,69.3,87.10000000000001,Shira Cohen,EXEC,0.4,0.4733,1.0,0.42,0.22,0.0,0.5,0.2673,0.3916
HNR-02,High nepotism risk,EHNR0200216,3,1.0,0.6667,1.0,0.0,0.3333,0.3333,0.3333,0.6667,0.0,0.6667,0.0,0.6667,3,1.0,1.0,0.6666666666666666,0.0,32166.666666666668,61.96666666666667,78.43333333333334,Yael Dayan,EXEC,0.8667,0.14,0.4733,0.3467,0.4467,0.0,0.5,0.2619,0.3798
MER-06,Merit-based,EMER0600266,3,0.0,0.0,1.0,0.3333,0.3333,1.0,0.6667,0.6667,1.0,1.0,0.0,0.3333,3,1.0,0.0,0.6666666666666666,0.3333333333333333,22833.33333333333,71.2,85.10000000000001,Adi Ohayon,D03,0.0,0.86,1.0,0.3467,0.3333,0.3333,0.5,0.2601,0.376
HNR-16,High nepotism risk,EHNR1600132,1,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1,1.0,1.0,1.0,0.0,15000.0,66.9,79.3,David Halabi,D02,0.6,1.0,1.0,0.52,0.66,0.0,0.35,0.2601,0.376
HNR-08,High nepotism risk,EHNR0800310,1,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1,1.0,1.0,1.0,0.0,23000.0,71.5,85.7,Lihi Shapiro,D03,0.6,1.0,1.0,0.52,0.66,0.0,0.35,0.2601,0.376
MER-05,Merit-based,EMER0500010,5,0.2,0.0,0.6,0.0,0.2,0.6,0.6,0.4,0.0,0.2,0.4,0.0,5,1.0,0.2,0.4,0.0,21020.0,71.88,85.58,Yael Malka,D01,0.12,0.252,0.432,0.4,0.132,0.0,0.8333,0.2597,0.3752
HNR-02,High nepotism risk,EHNR0200061,5,0.2,0.0,0.6,0.0,0.2,0.4,0.4,0.5,0.2,0.6,0.0,0.0,5,1.0,0.2,0.8,0.0,20580.0,64.88,79.96000000000001,Ido Ben-David,D01,0.12,0.284,0.484,0.26,0.132,0.0,0.8333,0.258,0.3714
HNR-12,High nepotism risk,EHNR1200129,3,0.6666666666666666,0.0,1.0,0.0,0.3333,0.6667,0.3333,0.5,0.6667,1.0,0.3333,0.0,3,1.0,0.6667,1.0,0.0,19933.33333333333,66.36666666666666,77.86666666666667,Noa Cohen,D01,0.4,0.5267,0.8067,0.42,0.22,0.0,0.5,0.2572,0.3697
MOD-12,Moderate favoritism,EMOD1200172,3,0.0,0.0,1.0,0.0,0.3333,1.0,0.6667,0.6667,1.0,1.0,0.3333,0.0,3,1.0,0.0,0.6666666666666666,0.0,17366.666666666668,59.3,77.39999999999999,Omer Dahan,D03,0.0,0.86,1.0,0.5067,0.22,0.0,0.5,0.2552,0.3654
MOD-10,Moderate favoritism,EMOD1000291,5,0.0,0.0,0.4,0.0,0.4,0.6,0.4,0.3333,0.4,0.4,0.0,0.0,5,1.0,0.0,0.8,0.2,21380.0,72.08,83.06,Yair Levi,D03,0.0,0.4,0.516,0.1733,0.264,0.0,0.8333,0.2537,0.3622
MOD-14,Moderate favoritism,EMOD1400091,3,0.3333333333333333,0.0,0.6666666666666666,0.0,0.3333,1.0,0.6667,1.0,0.6667,0.6667,0.0,0.0,3,1.0,0.3333,0.6666666666666666,0.0,17900.0,68.10000000000001,81.0,Michal Katz,D01,0.2,0.6667,0.86,0.52,0.22,0.0,0.5,0.2535,0.3616
HNR-13,High nepotism risk,EHNR1300131,3,0.6666666666666666,0.0,1.0,0.3333,0.3333,0.6667,0.3333,0.6667,0.3333,0.6667,0.6667,0.0,3,1.0,0.6667,0.6666666666666666,0.3333333333333333,19500.0,60.03333333333333,73.36666666666666,Gal Malka,D03,0.4,0.3333,0.6667,0.6667,0.22,0.3333,0.5,0.2515,0.3573
MER-06,Merit-based,EMER0600134,4,0.0,0.0,0.75,0.6667,0.25,0.75,0.5,0.25,0.25,0.75,0.25,0.0,4,1.0,0.0,0.0,0.75,23400.0,77.5,90.125,Daniel Ben-Ami,D02,0.0,0.355,0.75,0.25,0.165,0.6667,0.6667,0.2495,0.353
HNR-06,High nepotism risk,EHNR0600038,1,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1,1.0,1.0,1.0,0.0,15100.0,67.9,80.0,Yair Malka,D01,0.6,0.42,1.0,1.0,1.0,0.0,0.35,0.2492,0.3524
MOD-11,Moderate favoritism,EMOD1100140,1,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,9800.0,66.3,69.7,Adi Haddad,D03,0.6,0.42,1.0,1.0,1.0,0.0,0.35,0.2492,0.3524
MOD-16,Moderate favoritism,EMOD1600093,2,0.5,0.0,1.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2,1.0,0.5,0.5,0.0,22300.0,64.5,71.9,Yael Azoulay,D02,0.3,1.0,1.0,1.0,0.33,0.0,0.35,0.2416,0.3361
MOD-02,Moderate favoritism,EMOD0200271,3,0.0,0.0,1.0,0.3333,0.3333,1.0,0.6667,0.5,0.6667,1.0,0.3333,0.0,3,1.0,0.0,0.3333333333333333,0.3333333333333333,33866.666666666664,69.89999999999999,91.13333333333333,Dana Levi,EXEC,0.0,0.6667,1.0,0.42,0.22,0.3333,0.5,0.2407,0.334
MOD-13,Moderate favoritism,EMOD1300013,3,0.0,0.0,1.0,0.0,0.3333,1.0,0.6667,0.5,0.6667,1.0,0.6667,0.0,3,1.0,0.0,0.6666666666666666,0.0,21800.0,62.633333333333326,77.66666666666667,Shira Biton,D01,0.0,0.6667,1.0,0.58,0.22,0.0,0.5,0.2403,0.3331
MER-14,Merit-based,EMER1400208,4,0.25,0.0,0.75,0.0,0.25,0.75,0.5,0.3333,0.0,0.75,0.25,0.25,4,1.0,0.25,0.5,0.0,23000.0,76.075,87.85,Yarden Malka,D02,0.15,0.21,0.75,0.2933,0.25,0.0,0.6667,0.2395,0.3314
MOD-04,Moderate favoritism,EMOD0400232,3,0.3333333333333333,0.0,0.6666666666666666,0.0,0.3333,0.6667,0.6667,1.0,0.6667,0.6667,0.0,0.0,3,1.0,0.3333,0.6666666666666666,0.0,22466.666666666668,71.93333333333334,81.06666666666666,Tamar Azoulay,D02,0.2,0.6667,0.6667,0.52,0.22,0.0,0.5,0.238,0.3282
HNR-07,High nepotism risk,EHNR0700297,3,0.3333333333333333,0.0,0.6666666666666666,0.0,0.3333,1.0,0.6667,0.6667,0.6667,0.6667,0.3333,0.0,3,0.6667,0.3333,0.6666666666666666,0.0,33000.0,67.8,88.60000000000001,Noa Cohen,EXEC,0.2,0.6667,0.86,0.5067,0.22,0.0,0.5,0.236,0.3239
MOD-06,Moderate favoritism,EMOD0600223,2,0.5,0.5,1.0,0.0,0.5,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2,1.0,0.5,1.0,0.0,22550.0,72.2,80.65,Maya Gabay,D03,0.5,0.71,1.0,0.76,0.5,0.0,0.35,0.2356,0.3231
HNR-07,High nepotism risk,EHNR0700201,5,0.2,0.0,0.8,0.0,0.4,0.4,0.2,0.2,0.2,0.4,0.2,0.0,5,1.0,0.2,0.6,0.0,20700.0,67.42,75.8,Ariel Malka,D02,0.12,0.2,0.4,0.2,0.264,0.0,0.8333,0.2356,0.323
HNR-15,High nepotism risk,EHNR1500064,3,0.3333333333333333,0.0,0.6666666666666666,0.0,0.6667,1.0,1.0,0.3333,0.3333,0.3333,0.3333,0.0,3,1.0,0.3333,0.3333333333333333,0.0,19266.666666666668,58.0,72.13333333333334,Hila Azoulay,D01,0.2,0.6133,0.72,0.3333,0.44,0.0,0.5,0.2345,0.3207
HNR-11,High nepotism risk,EHNR1100022,3,0.3333333333333333,0.0,1.0,0.3333,0.3333,1.0,0.6667,0.3333,0.3333,0.6667,0.3333,0.0,3,1.0,0.3333,1.0,0.3333333333333333,18033.33333333333,62.16666666666666,79.5,Yair Dayan,D01,0.2,0.4733,0.86,0.3333,0.22,0.3333,0.5,0.2329,0.3173
HNR-11,High nepotism risk,EHNR1100273,3,0.3333333333333333,0.3333,1.0,0.0,0.3333,1.0,0.6667,0.3333,0.0,0.6667,0.3333,0.6667,3,1.0,0.3333,0.6666666666666666,0.0,33033.333333333336,66.96666666666665,83.5,Noa Abutbul,EXEC,0.3333,0.28,0.86,0.3333,0.4467,0.0,0.5,0.2313,0.3138
HNR-03,High nepotism risk,EHNR0300029,3,0.0,0.0,0.6666666666666666,0.0,0.3333,1.0,0.6667,1.0,0.6667,0.6667,0.0,0.0,3,1.0,0.0,0.3333333333333333,0.0,33066.666666666664,67.83333333333333,88.3,Omer Friedman,EXEC,0.0,0.6667,0.86,0.52,0.22,0.0,0.5,0.2255,0.3011
MOD-07,Moderate favoritism,EMOD0700268,5,0.0,0.0,0.4,0.0,0.2,0.4,0.4,0.25,0.4,0.4,0.0,0.0,5,1.0,0.0,0.6,0.0,20080.0,60.78,80.72,Tal Levi,D03,0.0,0.4,0.4,0.13,0.132,0.0,0.8333,0.2251,0.3004
MOD-06,Moderate favoritism,EMOD0600165,3,0.0,0.0,0.3333333333333333,1.0,0.3333,1.0,0.6667,1.0,0.3333,0.3333,0.0,0.0,3,1.0,0.0,0.3333333333333333,0.6666666666666666,35266.666666666664,79.53333333333333,84.93333333333334,Ido Sasson,EXEC,0.0,0.4733,0.72,0.52,0.22,1.0,0.5,0.2249,0.3
MOD-15,Moderate favoritism,EMOD1500095,1,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1,1.0,0.0,0.0,1.0,23000.0,71.2,79.5,Gal Cohen,D01,0.0,1.0,1.0,0.52,0.66,1.0,0.35,0.2223,0.2943
MER-14,Merit-based,EMER1400024,4,0.0,0.0,0.75,0.0,0.5,0.5,0.25,0.25,0.5,0.75,0.25,0.0,4,1.0,0.0,0.25,0.0,22775.0,71.65,85.25,Moran Friedman,D01,0.0,0.395,0.605,0.25,0.33,0.0,0.6667,0.2215,0.2925
MOD-04,Moderate favoritism,EMOD0400046,1,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,0.0,1.0,0.0,14600.0,65.9,86.7,Neta Biton,D01,0.0,1.0,1.0,1.0,0.66,0.0,0.35,0.2215,0.2925
HNR-10,High nepotism risk,EHNR1000325,1,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,0.0,1.0,0.0,22300.0,57.9,79.9,Dana Harari,D03,0.0,1.0,1.0,1.0,0.66,0.0,0.35,0.2215,0.2925
MER-07,Merit-based,EMER0700146,3,0.0,0.0,1.0,0.0,0.3333,1.0,0.6667,0.5,0.6667,1.0,0.0,0.0,3,1.0,0.0,0.3333333333333333,0.0,32466.666666666668,67.56666666666666,81.13333333333334,Tamar Friedman,EXEC,0.0,0.6667,1.0,0.26,0.22,0.0,0.5,0.2211,0.2916
HNR-04,High nepotism risk,EHNR0400151,3,0.0,0.0,1.0,0.0,0.3333,1.0,0.6667,0.5,0.3333,1.0,0.6667,0.0,3,1.0,0.0,1.0,0.0,32233.33333333333,62.03333333333333,78.33333333333333,Gal Harari,EXEC,0.0,0.4733,1.0,0.58,0.22,0.0,0.5,0.2209,0.2913
MOD-10,Moderate favoritism,EMOD1000102,3,0.3333333333333333,0.0,0.6666666666666666,0.5,0.6667,0.6667,0.6667,0.5,0.3333,0.3333,0.0,0.3333,3,1.0,0.3333,0.0,0.3333333333333333,34566.666666666664,73.96666666666667,85.96666666666665,Roni Shapiro,EXEC,0.2,0.4733,0.5267,0.26,0.5533,0.5,0.5,0.2202,0.2897
HNR-01,High nepotism risk,EHNR0100322,3,0.0,0.0,0.6666666666666666,0.5,0.3333,0.6667,0.3333,0.6667,0.6667,0.6667,0.6667,0.0,3,1.0,0.0,0.6666666666666666,0.3333333333333333,32366.666666666668,63.0,82.2,Tal Shapiro,EXEC,0.0,0.5267,0.6667,0.6667,0.22,0.5,0.5,0.2198,0.2889
HNR-08,High nepotism risk,EHNR0800037,1,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1,1.0,1.0,1.0,0.0,21300.0,56.2,82.8,Lihi Biton,D01,0.6,0.42,1.0,0.52,0.66,0.0,0.35,0.2195,0.2883
MER-03,Merit-based,EMER0300231,4,0.0,0.0,0.75,0.0,0.5,0.5,0.25,0.5,0.25,0.5,0.5,0.25,4,1.0,0.0,0.0,0.0,20200.0,66.725,81.775,Noam Mizrahi,D03,0.0,0.25,0.5,0.5,0.415,0.0,0.6667,0.2155,0.2795
MOD-07,Moderate favoritism,EMOD0700260,2,0.5,0.0,1.0,0.0,0.5,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2,1.0,0.5,0.5,0.0,22050.0,65.1,86.35,Alon Haddad,D02,0.3,0.5,1.0,1.0,0.5,0.0,0.35,0.2114,0.2707
MOD-01,Moderate favoritism,EMOD0100213,3,0.0,0.0,0.6666666666666666,0.0,0.3333,0.6667,0.6667,0.6667,0.6667,0.6667,0.3333,0.0,3,1.0,0.0,0.6666666666666666,0.0,20200.0,71.66666666666667,87.43333333333334,Ori Mizrahi,D03,0.0,0.6667,0.6667,0.5067,0.22,0.0,0.5,0.2092,0.266
HNR-13,High nepotism risk,EHNR1300055,3,0.0,0.0,1.0,0.0,0.3333,0.6667,0.6667,0.3333,0.6667,0.6667,0.6667,0.0,3,1.0,0.0,0.6666666666666666,0.0,22633.33333333333,67.39999999999999,77.96666666666667,Yonatan Levi,D02,0.0,0.6667,0.6667,0.4933,0.22,0.0,0.5,0.2084,0.2643
MOD-03,Moderate favoritism,EMOD0300102,3,0.3333333333333333,0.0,0.6666666666666666,0.0,0.3333,0.6667,0.3333,0.6667,0.3333,0.6667,0.3333,0.0,3,1.0,0.3333,0.3333333333333333,0.0,20100.0,69.26666666666667,86.56666666666666,Ariel Shapiro,D01,0.2,0.3333,0.6667,0.5067,0.22,0.0,0.5,0.2039,0.2545
HNR-10,High nepotism risk,EHNR1000077,2,1.0,0.0,1.0,0.0,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.0,2,1.0,1.0,1.0,0.0,18350.0,61.6,78.3,Neta Levi,D02,0.6,0.5,0.79,0.5,0.33,0.0,0.35,0.2033,0.2532
HNR-07,High nepotism risk,EHNR0700077,3,0.3333333333333333,0.0,1.0,0.0,0.6667,0.6667,0.3333,0.6667,0.0,0.6667,0.6667,0.0,3,1.0,0.3333,0.3333333333333333,0.0,22233.33333333333,65.26666666666667,83.63333333333334,Daniel Ben-Ami,D01,0.2,0.14,0.6667,0.6667,0.44,0.0,0.5,0.2029,0.2524
HNR-03,High nepotism risk,EHNR0300030,1,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1,1.0,0.0,1.0,0.0,21300.0,58.7,75.9,Yarden Cohen,D01,0.0,1.0,1.0,0.52,0.66,0.0,0.35,0.2013,0.249
HNR-11,High nepotism risk,EHNR1100311,1,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1,1.0,0.0,1.0,0.0,13800.0,50.3,72.7,Daniel Dahan,D03,0.0,1.0,1.0,0.52,0.66,0.0,0.35,0.2013,0.249
MER-09,Merit-based,EMER0900145,1,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1,1.0,0.0,0.0,0.0,14600.0,64.4,82.3,Daniel Ben-David,D01,0.0,1.0,1.0,0.52,0.66,0.0,0.35,0.2013,0.249
